"original_title","original_indicator_code","our_title","short_indicator_description_de","short_indicator_description_en","long_indicator_description_de","long_indicator_description_en","unit","target","explanation_of_target","scoring","last_update","extracted","source_of_data","source_note","indicator_type","indicator_source","link","type","sdg","most_recent_year","ministerial_responsibility"
"General Goverment Gross Debt","teina225","Staatsschulden",,,,,"Prozent","20","Best performer haben Werte unter 20%. Die Maastrichter Konvergenzkriterien schreiben einen Wert unter 60% fest.","below 30% = 1 = very good, below 60% = 2 = good, below 80% = 3 = satisfactory, below 100% = 4 = bad, 100% and = 5 = very bad.","","10/31/2015","Eurostat","The indicator is defined (in the Maastricht Treaty) as consolidated general government gross debt at nominal (face) value, outstanding at the end of the year in the following categories of government liabilities (as defined in ESA2010): currency and deposits, debt securities and loans. The general government sector comprises the subsectors: central government, state government, local government and social security funds. ","national","OKF","http://ec.europa.eu/eurostat/tgm/refreshTableAction.do?tab=table&plugin=1&pcode=teina225&language=en","[""economic""]","[8]",2014,"[""BMF""]"
"Early School Leavers","t2020_40","Schulabbrecher",,,,,"Prozent","0",,"below 4% = 1 = very good, below 8% = 2 = good, below 12% = 3 = satisfactory, below 16% = 4 = bad, 16% and above = 5 = very bad.","","02/10/2015","Eurostat","Early leavers from education and training: The indicator is defined as the percentage of the population aged 18-24 with at most lower secondary education (ISCED levels 0, 1, 2 or 3 c short) and who were not in further education or training during the last four weeks preceding the survey.","national","Other","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&pcode=t2020_40&language=en","[""social""]","[4]",2014,"[""Bundesministerium für Bildung und Forschung""]"
"Youth unemployment rate","doi: 10.1787/c3634df7-en","Jugendarbeitslosigkeitsrate","Die Jugendarbeitslosigkeitsrate misst die Anzahl von Jugendlichen im Alter von 15-24 Jahren ohne Arbeit in Prozent der gesamten jugendlichen Arbeitskräfte.","Share of young employable persons without an employment.","Der Indikator für Jugendarbeitslosigkeit bezieht sich auf die Jugendlichen, die 15 Jahre oder älter sind und die in der Referenzwoche ohne Arbeit waren, verfügbar sind für Arbeit und in den letzten vier Wochen aktiv nach Arbeit gesucht haben. “Ohne Arbeit” bezieht sich auf Jugendliche, die weder einer bezahlten Arbeit gehen, noch selbstständig sind. “Verfügbar für Arbeit” heißt, dass die Jugendlichen in der Referenzwoche oder in den vier Wochen nach der Referenzwoche (für EU Länder) bereit sind, eine bezahlte Arbeit oder eine selbstständige Arbeit aufzunehmen. Eine “aktive Suche” nach Arbeit liegt vor, wenn Jugendliche im oben genannten Zeitraum konkrete Schritte zur Suche einer Arbeit unternommen haben.","Those in unemployment are people aged 15 and over who were without work during the reference week, available for work and actively seeking work during the previous four weeks including the reference week. Without work refers to those not in paid employment or self-employment during the reference week. Available for work refers to those who were available for paid employment or self-employment during the reference week or four weeks after the reference week in the case of EU countries. Seeking work refers those who took specific steps to actively seek paid employment or self-employment during a specified recent period operationalised as previous four weeks including the survey reference week.","% der jugendlichen Arbeitskräfte","10",,"Weighting: below 10% = 1 = very good, below 14% = 2 = good, below 18% = 3 = satisfactory, below 22% = 4 = bad, above 40% = 5 = very bad.","","10.09.2015","OECD","","national","OKF","https://data.oecd.org/unemp/youth-unemployment-rate.htm","[""economic"",""social""]","[8]","[2014]","Bundesministerium für Arbeit und Soziales"
"Share of renewable energy in gross final energy consumption","nrg_ind_335a","Anteil erneuerbarer Energien am Energieverbrauch","Dieser Indikator misst den Anteil erneuerbarer Energien anhand des kompletten Energieverbrauchs eines Landes.","Indicator measures the share of renewable energy sources in the total energy consumption of a country.","Dieser Indikator ist ein offizieller Indikator für nachhaltige Entwicklung der EU. Er misst den Anteil des nationalen Energieverbrauchs, der aus erneuerbaren Energien gedeckt wird. Der Indikator beinhaltet den Energieverbrauch für Stromerzeugung, für Transport sowie für Heizen und Kühlen. Dieser Indikator ist Teil der deutschen Nachhaltigkeitsstrategie (Okt 2015).","This indicator is part of the sustainable development framework of the EU and is calculated on the basis of data covered by Regulation (EC) No 1099/2008 on energy statistics. It measures the share of energy consumption from renewable energy sources at national level. The indicator includes energy consumption for electricity, for transport and for heating and cooling. This indicator is part of the indicator set for the German sustainability strategy (Oct 2015).","Prozent (%)","100","Der Anteil erneuerbarer Energien ist einer von der EU festgelegten Indikatoren für nachhaltige Entwicklung. Im Rahmen der Europe 2020 Strategie der Europäischen Union wurde beschlossen, dass die EU bis 2020 mindestens 20% ihres Energiebedarfs aus erneuerbaren Energien decken soll. Auf nationaler Ebene haben die EU Mitgliedsländer eigene Zielwerte von bis zu 49% (Schweden) festgelegt. In der deutschen Nachhaltigkeitsstrategie wird für 2050 die Zielmarke von 60% angegeben, für 2020 jedoch nur die Zielmarke von 18%. Damit werden die notwendigen drastischen Veränderungen im Energieverbrauch und im Energiemix weit in die Zukunft verschoben. Vor dem Hintergrund der “no business as usual” Maxime wird für 2030 für Deutschland und andere industrialisierte Länder die Zielmarke von 50% vorgeschlagen.","0-12,4% = 5, 12,5-24,9% = 4, 25-37,4% = 3, 37,5-49,9% = 2, above 50% = 1.","","10/1/2015","European Environment Agency","This indicator is calculated on the basis of data covered by Regulation (EC) No 1099/2008 on energy statistics. Reporting countries provide additional information on renewable source not covered by the Regulation. This indicator may be considered an estimate of the indicator described in Directive 2009/28/EC because statistical systems in some countries are not yet fully developed to meet all the requirements of this Directive. More information about the renewable energy shares calculation methodology can be found on the <a href=""http //epp.eurostat.ec.europa.eu/portal/page/portal/energy/other_documents"" target=""_blank"">Eurostat website.</a> More information on renewable energies can be found on the <a href=""http //ec.europa.eu/energy/renewables"" target=""_blank"">DG Energy website</a>; http //ec.europa.eu/geninfo/legal_notices_en.htm, ","pcd","SDSN","http //ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=t2020_31","[""ecologic""]","[7]",2013,"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit"
"OGP - Participating Countries","","Mitgliedschaft bei der Open Government Partnership","Dieser Indikator misst die Mitgliedschaft und gegebenenfalls des Fortschritt eines Landes bei der Open Government Partnership (OGP.)","This indicator measure the membership and if applicable the progress of a country in the Open Government Partnership.","Die Open Government Partnership (OGP) ist eine multilaterale Initiative mit dem Ziel einzelne Regierungen zu verbindlichen Zusagen zu bewegen, um die Transparenz, Bürgerbeteiligung und Korruptionsbekämpfung zu stärken unter anderem mit digitalen Werkzeugen zu stärken. Die OGP ist eine Multi-Akteurs-Initiative, die von einem internationalem Steuerungskreis geleitet wird. Diesem Steuerungskreis gehören sowohl Regierungsvertreter als auch Vertreter der Zivilgesellschaft an. Der Indikator berücksichtigt, um ein Land Mitglied der OGP ist, ob es einen nationalen Umsetzungsplan entwickelt hat und ob es bereits in der Umsetzungsphase ist. Mehr Informationen zur OGP finden sich hier: http://www.opengovpartnership.org/about Dieser Indikator kann nur ein Proxy Indikator sein, weil er nicht die Qualität der OGP Umsetzungspläne und ihrer Durchführung bewertet. Diese Daten könnten in der Zukunft jedoch verfügbar sein.","The Open Government Partnership is a multilateral initiative that aims to secure concrete commitments from governments to promote transparency, empower citizens, fight corruption, and harness new technologies to strengthen governance. The OGP is a multi-stakeholder initiative overseen by a Steering Committee including representatives of governments and civil society organizations. The indicator assesses if a country is member of the OGP, if it has a national implementation plan and if it is already implementing this plan. For more information please check here: http://www.opengovpartnership.org/about The indicator can only be a proxy indicator since it only measure government commitments, not the implementation of these commitments.","Mitgliedschaft ja oder nein",,,"No membership = 5 = very bad Developing Action Plan = 3 = satisfactory 1st Action Plan Cycle = 2 = good 2nd Action Plan Cycle = 1 = very good","","9/29/2015","Open Government Partnership","","global","OKF","http://www.opengovpartnership.org/countries","[""social, economic""]","[17]",2015,"BMI"
"Daily smokers, Total, % of population aged 15+","doi: 10.1787/1ff488c2-en","Anteil täglicher Raucher",,,,,"% der Gesamtbevölkerung über 15 Jahre","10","","below 10% = 1 = very good, below 15% = 2 = good, below 20% = 3 = satisfactory, below 25% = 4 = bad, above 25% = 5 = very bad","","22.10.2015","OECD","Information on data for Israel: http://oe.cd/israel-disclaimer, Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/","national","OWG","https://data.oecd.org/healthrisk/daily-smokers.htm","[""social""]","[3]",2013,"[""BMG""]"
"Alcohol consumption","","Alkoholkonsum","Jahrlicher Konsum von purer Alkohol in Litern pro Person ab 15 Jahre und älter","Annual consumption of pure alcohol in liters per person, age 15 and older.","Jährlicher Alkoholkonsum is definiert anhand der jährlichen Verkaufszahlen puren Alkohols in Litern ab 15 Jahre und älter. Alkoholkonsum wird unter anderem asoziiert mit einer Anzahl an negativen Konsequenzen für Gesundheit und soziales Umfeld; unter anderem erhöhtes Risiko für Krebs,Schlaganfälle oder Leberzirrhose. Indicator is based on the data of the Global Information System on Alcohol and Health (GISAH) and published surveys.Health consequences of alcoholconsumption were GISAH, a 20112 Global Survey on Alcohol and Health, the Global Burden of Disease estimates for 2010 and further related literature.","Alcohol consumption is defined as annual sales of pure alcohol in litres per person aged 15 years and older. Alcohol use is associated with numerous harmful health and social consequences, including an increased risk of a range of cancers, stroke and liver cirrhosis. Indicator is based on the data of the Global Information System on Alcohol and Health (GISAH) and published surveys.Health consequences of alcoholconsumption were GISAH, a 20112 Global Survey on Alcohol and Health, the Global Burden of Disease estimates for 2010 and further related literature.","Liter verkaufter, purer Alkohol pro Jahr per Person (ab 15 Jahre und älter)","",,"Scoring: <2,50 L = no/little alcohol consumption, 2,50-4,99 L = moderate alcohol consumption, 500-7,49 L = increased alcohol consumption, >10 L = high and risky amount of alcohol consumption.","","29.09.15","OECD","Disclaimer and Terms and Conditions: ht://www.oecd.org/termsandconditions/ ","national","SDSN","https://data.oecd.org/healthrisk/alcohol-consumption.htm","[""social""]","[3]",2013,"[""BMG""]"
"Potential years of life lost","doi: 10.1787/193a2829-en","Verlust an Lebensjahren","Anzahl der verlorenen Lebensjahre aufgrund von frühzeitigem Tod.","Number of years of life lost due to premature death.","Dieser Indikator fasst die durch vorzeitigen Tod verlorenen Lebensjahre zusammen. Die Berechnung dieses Indikators berücksichtigt das Alter jeder verstorbenen Person und berechnet die verlorenen Lebensjahre bis zur durchschnittlichen Lebenserwartung von 70 Jahren (OECD Vergleichswert). Um die Daten  über mehrere Länder und Jahre hinweg vergleichbar zu machen wird der Indikator für jedes Jahr und jedes Land standardisiert. Dabei wird die OECD Gesamtbevölkerung von 2010 als Referenz für die Altersstandardisierung genommen. Der Indikator misst die Anzahl der verlorenen Lebensjahre pro 100.000 Einwohner zwischen 0 und 69 Jahren. (Quelle: OECD)","This indicator is a summary measure of premature mortality, providing an explicit way of weighting deaths occurring at younger ages, which may be preventable. The calculation of Potential Years of Life Lost (PYLL) involves summing up deaths occurring at each age and multiplying this with the number of remaining years to live up to a selected age limit (age 70 is used in OECD Health Statistics). In order to assure cross-country and trend comparison, the PYLL are standardised, for each country and each year. The total OECD population in 2010 is taken as the reference population for age standardisation. It is measured in years lost per 100 000 inhabitants aged 0-69. (Source: OECD)","Verlorene Jahre pro 100000 Einwohner (0 - 69 Jahre)","2500",,"below 2500 = 1 = very good, below 3500 = 2 = good, below 4500 = 3 = satisfactory, below 5500 = 4 = bad, 5500 and above = 5 = very bad","","10/5/2015","OECD, Health at a Glance","Health status includes the length of people's lives, as well as their physical and mental health which may be affected by infectious diseases, chronic diseases and injuries.","national","OKF","https://data.oecd.org/healthstat/potential-years-of-life-lost.htm","[""social""]","[3]",2013,"[""Bundesministerium fuer Gesundheit""]"
"Pesticide Regulation (POPs) - Regulation of the dirty-dozen persistent organic pollutants (POPs) under the Stockholm Convention","POPs","Regulierung von Pestiziedeinsatz","Umsetzung der Stockholm Convention zu giftigen Chemikalien","Implementation of the regulation of the dirty-dozen persistent organic pollutants (POPs) under the Stockholm Convention","Pestizide sind eine bedeutende Quelle der Umweltverschmutzung. Sie töten nützliche Insekten, Besteuber und andere Tiere und der Kontakt von Menschen mit Pestiziden ist mit erhöhten Raten neurologischer und reproduktiver Störungen, Störungen des Hormonsystems und mit Krebs in Verbindung gebracht worden. Der Indikator zur Regulierung des Pestizideinsatz ist im Rahmen des Yale Environmental Performance Index entwickelt worden. Er misst die Umsetzung eines Landes der Stockholm Konvention zur Vermeidung hoch toxischer und schädlicher Pestizide, die POPs (Persistant Organic Pollutants). Die 12 als POPs bezeichneten Wirkstoffe stellen eine Gefahr dar wegen ihrer leichten Weiterverbreitung, ihrer Toxizität und ihrer langen Haltbarkeit in Wasser und im Boden. Der hier genutzte Indikator misst die Umsetzung der Stockholm Konvention zur Regulierung der POPs. Die dabei berücksichtigten Aspekte sind die Unterzeichnung der Konvention, die Ratifizierung sowie die Maßnahmen auf nationaler Ebene zur Umsetzung der Konvention. Die Daten wurden gesammelt und aufbereitet vom Yale Center for Environmental Law and Policy unter anderem auf der Basis von nationalen Implementierungsplänen der Stockholm Konvention.","Pesticides are a significant source of pollution in the environment. They kill beneficial insects, pollinators, and fauna, and human exposure to pesticides has been linked to increased rates of neurological and reproductive disorders, endocrine disruption, and cancer. The Pesticide Regulation indicator scores countries' efforts toward banning the highly toxic and harmful 'dirty dozen' POPs in the Stockholm Convention. Concerns over POPs are related to their mobility, toxicity, and ability to remain in water and soil for a long time. This indicator is a measurement of countries’ performance in regard to the usage of POPs. The elements considered in the scoring are the signing of the Stockholm Convention, its ratification and an assessment as to whether a country has taken steps to ban or restrict the dirty dozen and penalizing those who have not. The data has been collected by the Yale Center for Environmental Law and Policy using amongst other sources National Implementation Plans of the Stockholm Convention.","Punkte (0 - 25)","25",,"below 5 = 5 = very bad, below 10 = 4 = bad, below 15 = 3 = satisfactory, below 20 = 2 = good, above 20 = 1= very good","2013","10/2/2015","Yale Enviromental Performance Index, Johnson, L. (2013). National Regulatory Actions on the 'Dirty Dozen' POPs through the Stockholm Convention. New Haven: Yale Center for Environmental Law and Policy., Enviromental Performance Index","","national","OKF","http://epi.yale.edu/epi/issue-ranking/agriculture","[""ecologic""]","[2]",2012,"[""BMELV""]"
"Quality of ODA (QuODA) - Fostering Institutions","fi2012","Wirksamkeit der Entwicklungshilfe - Förderung von Institutionen im Partnerland","Dieser Indikator misst ob die Stärkung lokaler Institutionen Teil der ODA eines Landes ist.","This indicator measures to what extent a country's official development cooperation strengthens local institutions in partner countries.","Dieser Indikator ist ein zusammengesetzter Indikator, der von dem Center for Global Development im Rahmen des Quality of Aid Indizes entwickelt wurde. Der Indikator misst anhand von acht Kriterien, inwiefern ein Land in seiner Entwicklungszusammenarbeit (EZ) die lokalen Strukturen in den Partnerländern fördert. Die acht Kriterien sind: 1) Der Anteil der aus Offiziellen Entwicklungshilfet (ODA = Official Development Aid), der für die Prioritäten des Partnerlandes ausgegeben wird, 2) Die Vermeidung eigener Projektumsetzungsstrukturen, 3) Der Anteil der Hilfe, die direkt in den nationalen Haushalt des Partnerlandes fließen, 4) Der Anteil der Empfängerländer, die eigene Strategien aktiv verfolgen, 5) Der Umfang in dem die nationalen Strukturen für die Zusammenarbeit genutzt werden, z.B. das nationale Gesundheitswesen, 6) Der Umfang der Koordinierung unter Geberländer, 7) Der Zuverlässigkeit der Zeitpläne zur Auszahlung von Finanzmitteln sowie 8) die Vollständigkeit der Veröffentlichung von zukünftigen Zahlungen. Die Daten wurden bereits 2011 erhoben. Mehr Details zum QUODA Index finden sich hier http://www.cgdev.org/page/quality-oda-quoda.","Fostering local institutions is essential for any project that has long-term development as its goal. When aid passes through recipient country institutions, it is more likely to be ""owned"" by the recipient and development is more likely to be sustainable. This indicator is an composite indicator developed by the Center for Global Development in the context of the Quality of Aid Index. It uses eight criteria to assess to what extent the development cooperation of a country promotes the local institutions in a partner country. The eight criteria are: 1) Share of aid given to recipients' top development priorities, 2) Avoidance of Project Implementation Units, 3) Share of aid recorded in recipient national budgets, 4) Share of aid to partners with good operational strategies, 5) Use of recipient country systems to implement aid, e.g. the national health system, 6) Coordination of technical cooperation among donors, 7) Share of scheduled aid recorded as received by recipients and 8) Coverage of forward spending plans/Aid predictability. The data is from an aid effectiveness survey from 2011. For more details about this indicator please consult the QUODA website.http://www.cgdev.org/page/quality-oda-quoda.","Punkte","1",,"<-1 points = 5 = very bad, <-0,3 points = 4 = bad, -0,3-0,3 points = 3  = mittel,  >0,3 points = 2 = good, >1 points = 1 = very good","","10/15/15","Center for Global Development, Quality of ODA","Fostering local institutions is essential for any project that has long-term development as its goal. When aid passes through recipient country institutions, it is more likely to be ""owned"" by the recipient and development is more likely to be sustainable. Our fostering institutions dimension highlights the importance of institutions in achieving growth and poverty reduction. To reflect the contribution that aid makes to fostering institutions in recipient countries, we first calculate the share of aid that is allocated to development priorities, as determined by civil society in recipient countries. We then consider a number of indicators from the Paris Declaration on Aid Effectiveness which reflect donors' commitments to promoting recipient countries' national development priorities and strategies. We also consider the proportion of aid that donors allocate to partners with good operational strategies and the proportion of aid for which donors provide advance information about spending plans as an indicator of donors' willingness to support recipient planning. ","pcd","OKF","http://www.cgdev.org/page/quality-oda-quoda","[""economic"",""social"",""ecologic""]","[17]",2012,"[""BMZ""]"
"Quality of ODA (QuODA) - Reducing Burden","rb2012","Wirksamkeit der Entwicklungshilfe - Reduktion der administrativen Belastung der Partnerländert","Dieser Indikator misst inwiefern Entwicklungsländer bei Berichtspflichten für Projekte entlastet werden z.B. durch weniger und größere Projekte, wodurch effizienter inhaltlich gearbeitet werden kann.","This indicator rewards donors who decrease fragmentation, increase project size, contribute to multilaterals, coordinate their missions and analytical work, and use higher shares of program-based aid.","Die Umsetzung der SDGs wird viele Finanzmittel beanspruchen, sowohl bei uns, als auch in den sogenannten Entwicklungsländern. Da die Haushaltsmittel aller Länder jedoch begrenzt sind, ist es von zentraler Bedeutung, das die aufgewendeten Mittel möglichst effektiv und effizient genutzt werden. Im Rahmen der Aid Effectiveness Debatte der letzten 15 Jahre sind die Bedingungen für eine effiziente EZ klar benannt worden. Die Bundesregierung hat sich im Rahmen mehrerer internationaler Konferenzen wiederholt zur Umsetzung der Prinzipien effizienter EZ verpflichtet. Der QUODA Index operationalisiert diese Erkenntnisse und macht die Umsetzung dieser Selbstverpflichtungen messbar. Dieser Indikator ist ein zusammengesetzter Indikator, der von dem Center for Global Development im Rahmen des Quality of Aid Indizes entwickelt wurde. Der Indikator misst anhand von sechs Kriterien, inwiefern die Entwicklungszusammenarbeit (EZ) eines Landes effizient ist. Die sechs Kriterien sind: 1) Relevanz des Geldgebers für ein Partnerland, 2) Fragmentierung der EZ in unterschiedliche Durchführungsorganisationen, 3) Durchschnittliches Finanzvolumen eines Projektes, 4) Anteil der offiziellen Entwicklungshilfe (Official Development Aid - ODA) an multilaterale Organisationen, 5) Grad der Koordinierung von EZ Maßnahmen mit anderen Gebern und 6) Anteil der ODA für Programm-basierte Maßnahmen. Die Daten wurden bereits 2011 erhoben. Mehr Details zum QUODA Index finden sich hier http://www.cgdev.org/page/quality-oda-quoda.","This indicator is an composite indicator developed by the Center for Global Development in the context of the Quality of Aid Index. It uses six criteria to assess to what extent the development cooperation of a country maximises its efficiency. The six criteria are: 1) Significance of aid relationships, 2) Fragmentation across donor agencies, 3) Median project size, 4) Contribution to multilaterals, 5) Coordinated missions, Coordinated analytical work and 6) Use of programmatic aid. The data is from an aid effectiveness survey from 2011. For more details about this indicator please consult the QUODA website.http://www.cgdev.org/page/quality-oda-quoda.","QUODA Methodologie","0.5",,"<-0,5 points = 5 = very bad, <-0,15 points = 4 = bad, -0,15-0,15 points = 3  = mittel,  >0,15 = 2 = good, >0,5 points = 1 = very good","","10/15/15","Center for Global Development, Quality of ODA","Reducing Burden recognizes that the administrative burdens placed on recipient countries make aid less effective. A growing number of projects with a trend of decreasing project sizes have created a burden of increased reporting and monitoring requirements on recipient governments.","pcd","OKF","http://www.cgdev.org/page/quality-oda-quoda","[""economic"",""social"",""ecologic""]","[17]",2012,"[""BMZ""]"
"Quality of ODA (QuODA) - Maximising efficiency","me2012","Effizienzerhöhung der öffentlichen Entwicklungszusammenarbeit","Dieser Indikator misst wie effizient die öffentlichen Entwicklungszusammenarbeit (ODA) eines Landes ist.","This indicator measure the efficiency of official development cooperation.","Die Umsetzung der SDGs wird viele Finanzmittel beanspruchen, sowohl bei uns, als auch in den sogenannten Entwicklungsländern. Da die Haushaltsmittel aller Länder jedoch begrenzt sind, ist es von zentraler Bedeutung, das die aufgewendeten Mittel möglichst effektiv und effizient genutzt werden. Im Rahmen der Aid Effectiveness Debatte der letzten 15 Jahre sind die Bedingungen für eine effiziente EZ klar benannt worden. Die Bundesregierung hat sich im Rahmen mehrerer internationaler Konferenzen wiederholt zur Umsetzung der Prinzipien effizienter EZ verpflichtet. Der QUODA Index operationalisiert diese Erkenntnisse und macht die Umsetzung dieser Selbstverpflichtungen messbar. Dieser Indikator ist ein zusammengesetzter Indikator, der von dem Center for Global Development im Rahmen des Quality of Aid Indizes entwickelt wurde. Der Indikator misst anhand von acht Kriterien, inwiefern die Entwicklungszusammenarbeit (EZ) eines Landes effizient ist. Die acht Kriterien sind: 1) Der Anteil der gesamten offiziellen Entwicklungshilfe (Official Development Aid = ODA) an arme Länder, 2) Der Anteil der ODA an gut regierte Länder, 3) Die Höhe der administrative Kosten, 4) Der Anteil der ODA, die dem Partnerland direkt zur Verfügung steht (Country Programmable Aid), 5) Das Ausmaß der Spezialisierung auf bestimmte Länder, 6) Das Ausmaß der Spezialisierung auf bestimmte Sektoren, 7) Die Förderung von globalen Gütern sowie 8) der Anteil der ODA, der nicht gebunden ist (untied aid). Die Daten wurden bereits 2011 erhoben. Mehr Details zum QUODA Index finden sich hier http://www.cgdev.org/page/quality-oda-quoda.","Based on the existing literature that identifies ways in which aid can have the most impact, this index rewards donor countries or agencies for allocating more aid to poorer countries and to better governed countries; minimizing administrative costs and thereby increasing efficiency; allocating a larger portion of ODA directly to projects or programs; providing more aid to countries or sectors in which they are specialized; contributing to global public goods; and untying aid. This indicator is an composite indicator developed by the Center for Global Development in the context of the Quality of Aid Index. It uses eight criteria to assess to what extent the development cooperation of a country maximises its efficiency. The eight criteria are: 1) Share of allocation to poor countries, 2) Share of allocation to well-governed countries, 3) Low administrative unit costs, 4) High country programmable aid share, 5) Focus/specialization by recipient country, 6) Focus/specialization by sector, 7) Support of select global public good facilities and 8) Share of untied aid. The data is from an aid effectiveness survey from 2011. For more details about this indicator please consult the QUODA website.http://www.cgdev.org/page/quality-oda-quoda.","Punkte","0.3",,"<-0,3 points = 5 = very bad, <-0,15 points = 4 = bad, -0,15-0,15 points = 3  = mittel,  >0,15 = 2 = good, >0,3 points = 1 = very good","","10/15/15","Center for Global Development, Quality of ODA","Maximizing Efficiency emphasizes the effect of development assistance on poverty reduction. While donors have their own objectives in giving aid, this measure of aid quality tries to assess each donor's aid against a global standard of how to best achieve sustainable growth.","pcd","OKF","http://www.cgdev.org/page/quality-oda-quoda","[""economic"",""social"",""ecologic""]","[17]",2012,"[""BMZ""]"
"Quality of ODA (QuODA) - Transparency and Learning","tl2012","Wirksamkeit der Entwicklungshilfe - Transparenz","Dieser Indikator misst inwiefern ein Geberland entwicklungspolitische Informationen und Erfahrungen mit Partnerländern teilt, um Planbarkeit und Lerneffekte zu erhöhen.","Indicator measure to what extent a country promotes transparency and learning in its international development cooperation.","Die Umsetzung der SDGs wird viele Finanzmittel beanspruchen, sowohl bei uns, als auch in den sogenannten Entwicklungsländern. Da die Haushaltsmittel aller Länder jedoch begrenzt sind, ist es von zentraler Bedeutung, das die aufgewendeten Mittel möglichst effektiv und effizient genutzt werden. Im Rahmen der Aid Effectiveness Debatte der letzten 15 Jahre sind die Bedingungen für eine effiziente EZ klar benannt worden. Die Bundesregierung hat sich im Rahmen mehrerer internationaler Konferenzen wiederholt zur Umsetzung der Prinzipien effizienter EZ verpflichtet. Der QUODA Index operationalisiert diese Erkenntnisse und macht die Umsetzung dieser Selbstverpflichtungen messbar.  Dieser Indikator ist ein zusammengesetzter Indikator, der von dem Center for Global Development im Rahmen des Quality of Aid Indizes entwickelt wurde. Der Indikator misst anhand von acht Kriterien, inwiefern die Entwicklungszusammenarbeit (EZ) eines Landes effizient ist. Die acht Kriterien sind: 1) Mitgliedschaft in der International Aid Transparency Initiative (IATI), 2) Umsetzung des IATI Standards, 3) Veröffentlichung von Projekttiteln und -beschreibungen, 5) Berichterstattung zur Durchführungsorganisation, 6) Veröffentlichung von vollständigen Informationen auf Projektebene, 7) Qualität der Evaluierungspolicy eines Geberlandes sowie 8) Anteil der offiziellen Entwicklungshilfe (Official Development Aid - ODA) an Partnerländern mit guten Systemen für Monitoring und Evaluierung. Die Daten wurden bereits 2011 erhoben. Mehr Details zum QUODA Index finden sich hier http://www.cgdev.org/page/quality-oda-quoda."," This indicator is an composite indicator developed by the Center for Global Development in the context of the Quality of Aid Index. It uses eight criteria to assess to what extent the development cooperation of a country maximises its efficiency. The eight criteria are: 1) Membership in IATI, 2) Implementation of IATI data reporting standards, 3) Recording of project title and descriptions, 4) Detail of project description (log), 5) Reporting of aid delivery channel, 6) Completeness of project-level commitment data, 7) Quality of Evaluation policy and 8) Aid to partners with good M&E frameworks. The data is from an aid effectiveness survey from 2011. Die Daten wurden bereits 2011 erhoben. For more details about this indicator please consult the QUODA website.http://www.cgdev.org/page/quality-oda-quoda.","Punkte","0.4",,"<-0,4 points = 5 = very bad, <-0,15 points = 4 = bad, -0,15-0,15 points = 3  = mittel,  >0,15 = 2 = good, >0,4 points = 1 = very good","","10/15/15","Center for Global Development, Quality of ODA","We include one indicator, membership in the International Aid Transparency Initiative, to measure donors' high-level commitment to collecting and reporting data that is useful and easily accessible, and a new indicator that rewards donors for starting to report IATI-compliant information. We then assess how well donors are doing this by measuring their frequency of recording project titles and descriptions, detail of project descriptions, reporting of aid delivery channels, and overall share of projects reporting disbursements. We also measure how closely donors' project-level reporting data matches their commitment data. Finally, we assess agencies' evaluation policies as an indication of their commitment to evaluation and learning, and the extent to which donors support recipient countries that have good M&E frameworks which enable them to track progress and learn from their experiences. Transparency and Learning reflects the importance of providing timely and comparative information about aid spending. Sharing timely information enables donors to coordinate better with other donors and with recipient countries, to improve their planning, and to learn from actual experience.","pcd","OKF","http://www.cgdev.org/page/quality-oda-quoda","[""economic, social, ecologic""]","[17]",2012,"[""BMZ""]"
"In Work Poverty Rate","","Armutsrate trotz Erwerbstätigkeit","Anteil der Vollzeiterwerbstätigen, die einem Armutsrisiko ausgesetzt sind.","Share of full-time employees exposed to a threat of poverty",,,"Prozent","0",,"below 2% = 1 = very good, below 4% = 2 = good, below 6% = 3 = satisfactory, below 8% = 4 = bad, 8% and above = 5 = very bad.","","10/29/2015","Eurostat","","national","OKF","http://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database","[""social, economic""]","[1]",2014,"[""Bundesministerium fuer Arbeit und Soziales""]"
